product_code;route_key;operation_sequence;operation_name;work_center_name;norming_type;capacity_pcs_per_shift;capacity_pcs_per_shift_per_person;shift_minutes;marking_type;crew_size;min_crew_to_operate;crew_productivity_rule;crew_notes;estimated_duration_minutes
00-000635;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000635;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-001686;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-001686;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-000838;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000838;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-000839;;1;Сборка/Упаковка;WC_TUBE_LINE_1;AUTO_SHIFT;15000;;720;AUTO_PRINTER;2;2;;Оператор + упаковщик. Одного нет — РЦ не работает, оставшийся в Резерв.;
00-000839;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-000515;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-000515;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-001170;;1;Сборка/Упаковка;WC_FILL_LINE_1;AUTO_SHIFT;5000;;720;AUTO_PRINTER;4;3;4=100,3=50,2=0;4 чел — 100%, 3 чел — 50%, 2 и менее — не работает, все в Резерв.;
00-001170;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-001233;;1;Сборка/Упаковка;WC_FILL_LINE_1;AUTO_SHIFT;5000;;720;AUTO_PRINTER;4;3;4=100,3=50,2=0;4 чел — 100%, 3 чел — 50%, 2 и менее — не работает, все в Резерв.;
00-001233;;2;Маркировка ЧЗ (при сбое принтера);WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_FALLBACK;1;1;;;
00-001564;;1;Сборка/Упаковка;WC_SEMI_AUTO_VISCOUS;MANUAL_PER_PERSON;;1000;720;MANUAL_ONLY;1;1;;;
00-001564;;2;Маркировка ЧЗ;WC_CHZ_MANUAL_AREA;MANUAL_PER_PERSON;;5000;720;MANUAL_ONLY;1;1;;;
00-000522;;1;Сборка/Упаковка;WC_FILL_LINE_1;AUTO_SHIFT;5000;;720;AUTO_PRINTER;4;3;4=100,3=50,2=0;4 чел — 100%, 3 чел — 50%, 2 и менее — не работает, все в Резерв.;
